ABEV3	1.3532410435414145e-06
BBSE3	1.9001934837523588e-06
BVMF3	4.9453216402742655e-06
BRML3	-2.0639817379877897e-06
BBDC3	2.9604357651950815e-06
BBDC4	6.1059875656650125e-06
BRAP4	1.9508170098948243e-05
BBAS3	7.245522368732616e-06
BRKM5	3.5008300160291384e-06
BRFS3	2.267132351322853e-06
CCRO3	5.396289055732861e-06
CMIG4	7.0089329681110436e-06
CTIP3	1.9428203820093782e-06
CIEL3	3.85572748953276e-07
CPLE6	7.523252746697723e-06
CSAN3	8.736473031945552e-06
CPFE3	6.529489318523668e-06
CYRE3	4.298089527751952e-06
ECOR3	1.2234483263519676e-05
EMBR3	-9.937758621645784e-06
ENBR3	3.6282471873411303e-06
EQTL3	5.81243058656384e-06
ESTC3	7.649414885414939e-06
FIBR3	-5.376593547510364e-06
GGBR4	1.8363604335073453e-05
GOAU4	2.04095369974245e-05
HYPE3	2.7883017005501723e-06
ITSA4	3.206296941043653e-06
ITUB4	5.855590110101319e-06
JBSS3	3.801628260516825e-06
KLBN11	-3.340727816644481e-06
KROT3	9.124316827821219e-06
RENT3	9.784091745891103e-06
LAME4	7.626649437726619e-07
LREN3	5.380411625244335e-06
MRFG3	-1.27152114908842e-06
MRVE3	3.2397856045559642e-06
MULT3	5.644311047896497e-06
NATU3	3.955697385793114e-06
PCAR4	3.7313566366311084e-06
PETR3	1.545282655693668e-05
PETR4	1.8543186139151993e-05
QUAL3	9.225144239887787e-06
RADL3	8.455584331139081e-06
RUMO3	1.5851920295004904e-05
SBSP3	7.550751652576302e-06
SANB11	7.265720816782345e-06
CSNA3	1.4897598953265911e-05
SMLE3	9.67018095375179e-06
SUZB5	-3.1196951134962172e-06
VIVT4	2.49737951262016e-06
TIMP3	3.771414505366322e-06
UGPA3	2.4432415348361353e-06
USIM5	2.040936817456573e-05
VALE3	8.512398267877691e-06
VALE5	1.223506351342368e-05
WEGE3	7.006513575411554e-06
