ABEV3	-9.509603650243566e-07
BBSE3	6.354985597558023e-07
BVMF3	1.813455915385869e-06
BRML3	-5.662711453170337e-07
BBDC3	1.9548968927457937e-06
BBDC4	3.4495020047867477e-06
BRAP4	1.432880296823294e-05
BBAS3	7.791669971933279e-06
BRKM5	5.571791563643886e-06
BRFS3	-7.429497378678266e-07
CCRO3	1.3650224260523529e-06
CMIG4	4.187281043245562e-06
CIEL3	-2.532476596640091e-06
CPLE6	2.638676308834452e-06
CSAN3	4.006479265505303e-06
CPFE3	4.1968669770295085e-06
CYRE3	2.3869819083057867e-06
ECOR3	4.056688126801881e-06
ELET3	1.3737338837799286e-05
EMBR3	-3.914173813735646e-06
ENBR3	1.4429841235936508e-06
EGIE3	-1.996566118200054e-06
EQTL3	3.72441297896652e-06
ESTC3	2.833975216319627e-06
FIBR3	-1.2507786887214128e-06
GGBR4	1.0748403302406007e-05
GOAU4	1.4287276751613021e-05
HYPE3	-4.750349568654221e-09
ITSA4	2.643175692612443e-06
ITUB4	3.219033631976695e-06
JBSS3	1.4317536801863209e-06
KLBN11	-1.855705863554374e-06
KROT3	2.566801139825363e-06
RENT3	3.1560366760354077e-06
LAME4	2.1620471454017162e-07
LREN3	2.0958078162786085e-06
MRFG3	-9.789124682043183e-08
MRVE3	1.8559578149687856e-06
MULT3	2.1757154179539375e-06
NATU3	4.1695017825208716e-07
PCAR4	3.1856003596706648e-06
PETR3	7.315575749865457e-06
PETR4	9.656338525405081e-06
QUAL3	2.9551522637214686e-06
RADL3	2.4392659325609075e-06
SBSP3	3.0295145611027525e-06
SANB11	8.208582104993575e-06
CSNA3	4.635052318071508e-06
SMLE3	4.294989877051454e-06
SUZB5	-4.768812424061106e-07
VIVT4	1.1954593213982503e-06
TIMP3	3.131452406034533e-06
UGPA3	-6.406367972120064e-08
USIM5	1.2924324485967467e-05
VALE3	9.423273772969665e-06
VALE5	1.2279679777795417e-05
WEGE3	2.169114346431738e-06
