DATE	NEGCODE	NAME	SECTOR	WEIGHT	FORWARDReturn
2017-12-28	LREN3	Lojas Renner S.A.	Services	0.018491999999999998	0.056635672020287346
2017-12-28	MRFG3	Marfrig Global Foods S.A.	Consumer Goods	0.002465	-0.06420765027322413
2017-12-28	MRVE3	MRV Engenharia e Participações S.A.	Industrial Goods	0.003281	0.013962765957446867
2017-12-28	MULT3	Multiplan Empreendimentos Imobiliários S.A.	Financial	0.00561	0.024118476727785523
2017-12-28	NATU3	Natura Cosméticos S.A.	Consumer Goods	0.0043630000000000006	0.07380520266182691
2017-12-28	PCAR4	Companhia Brasileira de Distribuição	Services	0.009603	-0.03142024578740661
2017-12-28	PETR3	Petróleo Brasileiro S.A. - Petrobras	Basic Materials	0.032506	0.2525133057362507
2017-12-28	PETR4	Petróleo Brasileiro S.A. - Petrobras	Basic Materials	0.048365	0.21055900621117993
2017-12-28	QUAL3	Qualicorp S.A.	Healthcare	0.00718	0.012258064516129
2017-12-28	RADL3	Raia Drogasil S.A.	Healthcare	0.012583	-0.07407407407407404
2017-12-28	RAIL3	Rumo S.A.	Services	0.007554	0.04857363145720887
2017-12-28	SBSP3	Companhia de Saneamento Básico do Estado de São Paulo - SABESP	Utilities	0.009389	0.07457034663559575
2017-12-28	SANB11	BCO Santander(Brasil) S.A.	Financial	0.009205999999999999	0.11825595984943538
2017-12-28	CSNA3	Companhia Siderúrgica Nacional	Basic Materials	0.004488	0.29236276849641996
2017-12-28	TAEE11	Transmissora Aliança de Energia Elétrica S.A.	Utilities	0.0035670000000000003	-0.04639175257731951
2017-12-28	VIVT4	Telefônica Brasil S.A.	Technology	0.017415	0.09481694775812423
2017-12-28	TIMP3	TIM Participações S.A.	Technology	0.007832	0.0045801526717557635
2017-12-28	UGPA3	Ultrapar Participações S.A.	Basic Materials	0.025359	0.06600000000000004
2017-12-28	USIM5	Usinas Siderúrgicas de Minas Gerais S.A.	Basic Materials	0.003024	0.27252747252747256
2017-12-28	VALE3	Vale S.A.	Basic Materials	0.090439	0.030054644808743192
2017-12-28	WEGE3	WEG S.A.	Industrial Goods	0.010008	-0.004562422231439213
2017-11-29	ABEV3	Ambev S.A.	Consumer Goods	0.070389	0.035019455252918406
2017-11-29	BBSE3	BB Seguridade Participações S.A.	Financial	0.015991	0.061080074487895604
2017-11-29	BVMF3	B3 S.A. - Brasil, Bolsa, Balcão	Financial	0.038677	-0.03063829787234038
2017-11-29	BRML3	BR Malls Participações S.A.	Financial	0.009792	0.04088307440719542
2017-11-29	BBDC3	Banco Bradesco S.A.	Financial	0.015069999999999998	0.044299674267101075
2017-11-29	BBDC4	Banco Bradesco S.A.	Financial	0.084595	0.030127814972611137
2017-11-29	BRAP4	Bradespar S.A.	Financial	0.005115	0.12627450980392152
2017-11-29	BBAS3	Banco do Brasil S.A.	Financial	0.032339	0.021181001283697053
2017-11-29	BRKM5	Braskem S.A.	Basic Materials	0.008661	-0.06089813800657177
2017-11-29	BRFS3	BRF S.A.	Consumer Goods	0.029184	-0.06846525833545426
2017-11-29	CCRO3	CCR S.A.	Industrial Goods	0.016733	0.009374999999999911
2017-11-29	CMIG4	Companhia Energética de Minas Gerais	Utilities	0.005992	-0.02136752136752129
2017-11-29	CIEL3	Cielo S.A.	Technology	0.021523	0.023053501522401095
2017-11-29	CPLE6	Companhia Paranaense de Energia - COPEL	Utilities	0.002493	0.030991735537190084
2017-11-29	CSAN3	Cosan S.A. Indústria e Comércio	Basic Materials	0.0050929999999999994	0.13543091655266767
2017-11-29	CPFE3	CPFL Energia S.A.	Utilities	0.010744	-0.23457278481012656
2017-11-29	CYRE3	Cyrela Brazil Realty S.A. Empreendimentos e Participações	Industrial Goods	0.002762	0.061847389558233046
2017-11-29	ECOR3	EcoRodovias Infraestrutura e Logística S.A.	Industrial Goods	0.0017100000000000001	0.014851485148514976
2017-11-29	ELET3	Centrais Elétricas Brasileiras S.A. - Eletrobras	Utilities	0.004082	-0.03251625812906447
2017-11-29	ELET6	Centrais Elétricas Brasileiras S.A. - Eletrobras	Utilities	0.003985	0.0017652250661959023
2017-11-29	EMBR3	Embraer S.A.	Industrial Goods	0.011297999999999999	0.2861736334405144
2017-11-29	ENBR3	EDP - Energias do Brasil S.A.	Utilities	0.003865	-0.017543859649122806
2017-11-29	EGIE3	Engie Brasil Energia S.A.	Utilities	0.006321	-0.01661589587371923
2017-11-29	EQTL3	Equatorial Energia S.A.	Utilities	0.010399	0.016253869969040425
2017-11-29	ESTC3	Estácio Participações S.A.	Services	0.006836	0.06593049691458269
2017-11-29	FIBR3	Fibria Celulose S.A.	Consumer Goods	0.008239	0.0010460251046025997
2017-11-29	GGBR4	Gerdau S.A.	Basic Materials	0.010128999999999999	0.11531531531531543
2017-11-29	GOAU4	Metalurgica Gerdau S.A.	Basic Materials	0.0027800000000000004	0.12865497076023394
2017-11-29	HYPE3	Hypera S.A.	Healthcare	0.010065	0.09024833434282242
2017-11-29	ITSA4	Itaúsa - Investimentos Itaú S.A.	Financial	0.033778	0.031458531935176365
2017-11-29	ITUB4	Itaú Unibanco Holding S.A.	Financial	0.108072	0.01671442215854813
2017-11-29	JBSS3	JBS S.A.	Consumer Goods	0.011401	0.2576923076923078
2017-11-29	KLBN11	Klabin S.A.	Basic Materials	0.007554	-0.03243540406816931
2017-11-29	KROT3	Kroton Educacional S.A.	Services	0.022525	0.01098901098901095
2017-11-29	RENT3	Localiza Rent a Car S.A.	Services	0.00842	0.06570048309178741
2017-11-29	LAME4	Lojas Americanas S.A.	Services	0.010216000000000001	0.10714285714285716
2017-11-29	LREN3	Lojas Renner S.A.	Services	0.018491999999999998	0.03771929824561401
2017-11-29	MRFG3	Marfrig Global Foods S.A.	Consumer Goods	0.002465	0.05172413793103453
2017-11-29	MRVE3	MRV Engenharia e Participações S.A.	Industrial Goods	0.003281	0.09700948212983211
2017-11-29	MULT3	Multiplan Empreendimentos Imobiliários S.A.	Financial	0.00561	0.012567837760639956
