2015-10-06	23.39
2015-10-07	24.23
2015-10-08	24.25
2015-10-09	23.99
2015-10-13	22.68
2015-10-14	22.56
2015-10-15	22.48
2015-10-16	22.05
2015-10-19	22.02
2015-10-20	21.5
2015-10-21	21.53
2015-10-22	21.85
2015-10-23	21.55
2015-10-26	21.39
2015-10-27	21.48
2015-10-28	22.03
2015-10-29	21.04
2015-10-30	21.0
2015-11-03	22.11
2015-11-04	21.65
2015-11-05	22.24
2015-11-06	21.92
2015-11-09	21.43
2015-11-10	21.32
2015-11-11	21.84
2015-11-12	21.83
2015-11-13	21.51
2015-11-16	21.69
2015-11-17	22.5
2015-11-18	22.68
2015-11-19	23.4
2015-11-23	23.17
2015-11-24	23.01
2015-11-25	21.89
2015-11-26	22.37
2015-11-27	21.55
2015-11-30	21.12
2015-12-01	21.0
2015-12-02	20.97
2015-12-03	21.89
2015-12-04	21.59
2015-12-07	21.37
2015-12-08	20.9
2015-12-09	21.95
2015-12-10	21.0
2015-12-11	20.82
2015-12-14	20.45
2015-12-15	20.77
2015-12-16	20.95
2015-12-17	20.54
2015-12-18	19.65
2015-12-21	19.08
2015-12-22	19.25
2015-12-23	19.4
2015-12-28	19.59
2015-12-29	19.69
2015-12-30	19.28
2016-01-04	19.0
2016-01-05	19.05
2016-01-06	18.78
2016-01-07	18.4
2016-01-08	18.04
2016-01-11	17.53
2016-01-12	17.43
2016-01-13	17.18
2016-01-14	17.7
2016-01-15	17.25
2016-01-18	17.1
2016-01-19	17.22
2016-01-20	17.26
2016-01-21	17.01
2016-01-22	17.36
2016-01-26	17.16
2016-01-27	17.37
2016-01-28	17.4
2016-01-29	18.15
2016-02-01	18.62
2016-02-02	17.85
2016-02-03	18.71
2016-02-04	19.73
2016-02-05	19.53
2016-02-10	19.75
2016-02-11	19.24
2016-02-12	19.3
2016-02-15	19.3
2016-02-16	19.99
2016-02-17	20.21
2016-02-18	19.8
2016-02-19	19.88
2016-02-22	20.92
2016-02-23	20.72
2016-02-24	20.68
2016-02-25	20.62
2016-02-26	20.68
2016-02-29	21.34
2016-03-01	21.94
2016-03-02	22.4
2016-03-03	24.4
2016-03-04	26.92
2016-03-07	26.16
2016-03-08	26.29
2016-03-09	25.1
2016-03-10	25.85
2016-03-11	26.77
2016-03-14	26.6
2016-03-15	25.2
2016-03-16	24.64
2016-03-17	27.85
2016-03-18	27.48
2016-03-21	27.94
2016-03-22	27.65
2016-03-23	26.75
2016-03-24	26.26
2016-03-28	27.54
2016-03-29	28.02
2016-03-30	28.06
2016-03-31	27.07
2016-04-01	27.6
2016-04-04	26.57
2016-04-05	26.72
2016-04-06	25.9
2016-04-07	26.12
2016-04-08	27.41
2016-04-11	27.99
2016-04-12	29.14
2016-04-13	29.41
2016-04-14	28.7
2016-04-15	28.83
2016-04-18	26.06
2016-04-19	26.12
2016-04-20	26.1
